rank,feature,condition,score_contribution,abs_score_contribution,direction,support_count,support_pct,business_readable_interpretation
17,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.4324999999999992, 0.4580000000000002)",0.8196542760550393,0.8196542760550393,increases_churn,25.0,1.9814958407213406e-06,"When level_rxlevel_range_1h in [0.4324999999999992, 0.4580000000000002), this term increases_churn."
18,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.41600000000000037, 0.4324999999999992)",0.813466593148977,0.813466593148977,increases_churn,27.0,2.140015507979048e-06,"When level_rxlevel_range_1h in [0.41600000000000037, 0.4324999999999992), this term increases_churn."
19,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.25200000000000067, 0.2535000000000007)",0.8088951668317831,0.8088951668317831,increases_churn,37.0,2.932613844267584e-06,"When level_rxlevel_range_1h in [0.25200000000000067, 0.2535000000000007), this term increases_churn."
20,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.17199999999999882, 0.17650000000000077)",0.772653915030034,0.772653915030034,increases_churn,20.0,1.5851966725770724e-06,"When level_rxlevel_range_1h in [0.17199999999999882, 0.17650000000000077), this term increases_churn."
21,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.17650000000000077, 0.17749999999999844)",0.7723754375436093,0.7723754375436093,increases_churn,45.0,3.566692513298413e-06,"When level_rxlevel_range_1h in [0.17650000000000077, 0.17749999999999844), this term increases_churn."
22,gateway_band_steering_no_response_sum_1h,"gateway_band_steering_no_response_sum_1h in [9.5, 55.0)",0.7460564845183545,0.7460564845183545,increases_churn,2003.0,0.0001587574467585938,"When gateway_band_steering_no_response_sum_1h in [9.5, 55.0), this term increases_churn."
23,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.27899999999999814, 0.27999999999999936)",0.7442731405514522,0.7442731405514522,increases_churn,40.0,3.170393345154145e-06,"When level_rxlevel_range_1h in [0.27899999999999814, 0.27999999999999936), this term increases_churn."
24,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.10799999999999876, 0.10849999999999937)",0.743429397372372,0.743429397372372,increases_churn,58.0,4.59707035047351e-06,"When level_rxlevel_range_1h in [0.10799999999999876, 0.10849999999999937), this term increases_churn."
25,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.238999999999999, 0.2394999999999996)",0.7408896609515141,0.7408896609515141,increases_churn,39.0,3.0911335115252913e-06,"When level_rxlevel_range_1h in [0.238999999999999, 0.2394999999999996), this term increases_churn."
26,gateway_band_steering_no_response_sum_1h,"gateway_band_steering_no_response_sum_1h in [8.5, 9.5)",0.7396326102750718,0.7396326102750718,increases_churn,996.0,7.89427942943382e-05,"When gateway_band_steering_no_response_sum_1h in [8.5, 9.5), this term increases_churn."
27,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.10450000000000159, 0.10799999999999876)",0.7393976754778591,0.7393976754778591,increases_churn,42.0,3.328913012411852e-06,"When level_rxlevel_range_1h in [0.10450000000000159, 0.10799999999999876), this term increases_churn."
28,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.16050000000000075, 0.16549999999999976)",0.7306935842686194,0.7306935842686194,increases_churn,31.0,2.4570548424944623e-06,"When level_rxlevel_range_1h in [0.16050000000000075, 0.16549999999999976), this term increases_churn."
29,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.1565000000000012, 0.16050000000000075)",0.7271312773302,0.7271312773302,increases_churn,31.0,2.4570548424944623e-06,"When level_rxlevel_range_1h in [0.1565000000000012, 0.16050000000000075), this term increases_churn."
30,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.1335000000000015, 0.13450000000000095)",0.7193554960302075,0.7193554960302075,increases_churn,80.0,6.34078669030829e-06,"When level_rxlevel_range_1h in [0.1335000000000015, 0.13450000000000095), this term increases_churn."
31,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.1305000000000005, 0.1335000000000015)",0.7193554960302075,0.7193554960302075,increases_churn,58.0,4.59707035047351e-06,"When level_rxlevel_range_1h in [0.1305000000000005, 0.1335000000000015), this term increases_churn."
32,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.13450000000000095, 0.1379999999999999)",0.7189491654316303,0.7189491654316303,increases_churn,24.0,1.902236007092487e-06,"When level_rxlevel_range_1h in [0.13450000000000095, 0.1379999999999999), this term increases_churn."
33,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.12650000000000006, 0.12749999999999773)",0.7148322400831073,0.7148322400831073,increases_churn,39.0,3.0911335115252913e-06,"When level_rxlevel_range_1h in [0.12650000000000006, 0.12749999999999773), this term increases_churn."
34,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.12749999999999773, 0.1305000000000005)",0.7139389279309473,0.7139389279309473,increases_churn,39.0,3.0911335115252913e-06,"When level_rxlevel_range_1h in [0.12749999999999773, 0.1305000000000005), this term increases_churn."
35,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [7.176008544976573e-08, 7.226946433858853e-08)",0.6917268651517628,0.6917268651517628,increases_churn,627670.0,0.04974901977382255,"When gateway_memory_utilization_avg_1h in [7.176008544976573e-08, 7.226946433858853e-08), this term increases_churn."
36,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [7.09913764371074e-08, 7.176008544976573e-08)",0.6908316318148113,0.6908316318148113,increases_churn,251.0,1.989421824084226e-05,"When gateway_memory_utilization_avg_1h in [7.09913764371074e-08, 7.176008544976573e-08), this term increases_churn."
37,gateway_channel_automatic_change_24_sum_1h,"gateway_channel_automatic_change_24_sum_1h in [27.5, 28.5)",0.6878373347596664,0.6878373347596664,increases_churn,115.0,9.114880867318167e-06,"When gateway_channel_automatic_change_24_sum_1h in [27.5, 28.5), this term increases_churn."
38,gateway_band_steering_no_response_sum_1h,"gateway_band_steering_no_response_sum_1h in [7.5, 8.5)",0.6813671197513114,0.6813671197513114,increases_churn,1798.0,0.0001425091808646788,"When gateway_band_steering_no_response_sum_1h in [7.5, 8.5), this term increases_churn."
39,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.395999999999999, 0.41600000000000037)",0.6670359002539435,0.6670359002539435,increases_churn,28.0,2.2192753416079015e-06,"When level_rxlevel_range_1h in [0.395999999999999, 0.41600000000000037), this term increases_churn."
40,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.1379999999999999, 0.1385000000000005)",0.6610340116949972,0.6610340116949972,increases_churn,44.0,3.4874326796695596e-06,"When level_rxlevel_range_1h in [0.1379999999999999, 0.1385000000000005), this term increases_churn."
41,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.04500000000000082, 0.04699999999999971)",0.6582114483460005,0.6582114483460005,increases_churn,48.0,3.804472014184974e-06,"When level_rxlevel_range_1h in [0.04500000000000082, 0.04699999999999971), this term increases_churn."
42,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.04199999999999893, 0.04300000000000015)",0.6582114483460005,0.6582114483460005,increases_churn,27.0,2.140015507979048e-06,"When level_rxlevel_range_1h in [0.04199999999999893, 0.04300000000000015), this term increases_churn."
43,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.04300000000000015, 0.04500000000000082)",0.6582114483460005,0.6582114483460005,increases_churn,27.0,2.140015507979048e-06,"When level_rxlevel_range_1h in [0.04300000000000015, 0.04500000000000082), this term increases_churn."
44,gateway_band_steering_no_response_sum_1h,"gateway_band_steering_no_response_sum_1h in [6.5, 7.5)",0.6558656730358539,0.6558656730358539,increases_churn,2960.0,0.00023460910754140673,"When gateway_band_steering_no_response_sum_1h in [6.5, 7.5), this term increases_churn."
45,level_distinct_ipaddress_count_1h,"level_distinct_ipaddress_count_1h in [0.5, 1.0)",0.645872552738702,0.645872552738702,increases_churn,139.0,1.1017116874410653e-05,"When level_distinct_ipaddress_count_1h in [0.5, 1.0), this term increases_churn."
46,gateway_band_steering_no_response_sum_1h,"gateway_band_steering_no_response_sum_1h in [5.5, 6.5)",0.644963057005869,0.644963057005869,increases_churn,5690.0,0.0004509884533481771,"When gateway_band_steering_no_response_sum_1h in [5.5, 6.5), this term increases_churn."
47,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.11149999999999949, 0.1120000000000001)",0.6385329644857878,0.6385329644857878,increases_churn,49.0,3.883731847813827e-06,"When level_rxlevel_range_1h in [0.11149999999999949, 0.1120000000000001), this term increases_churn."
48,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.10849999999999937, 0.11149999999999949)",0.6385329644857878,0.6385329644857878,increases_churn,42.0,3.328913012411852e-06,"When level_rxlevel_range_1h in [0.10849999999999937, 0.11149999999999949), this term increases_churn."
49,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.07250000000000156, 0.07450000000000045)",0.6383656093728504,0.6383656093728504,increases_churn,42.0,3.328913012411852e-06,"When level_rxlevel_range_1h in [0.07250000000000156, 0.07450000000000045), this term increases_churn."
50,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.1120000000000001, 0.1144999999999996)",0.6375756402957931,0.6375756402957931,increases_churn,37.0,2.932613844267584e-06,"When level_rxlevel_range_1h in [0.1120000000000001, 0.1144999999999996), this term increases_churn."
51,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.07450000000000045, 0.07699999999999996)",0.6368211789239896,0.6368211789239896,increases_churn,47.0,3.7252121805561204e-06,"When level_rxlevel_range_1h in [0.07450000000000045, 0.07699999999999996), this term increases_churn."
52,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.07699999999999996, 0.07899999999999885)",0.6366110415283812,0.6366110415283812,increases_churn,52.0,4.121511348700388e-06,"When level_rxlevel_range_1h in [0.07699999999999996, 0.07899999999999885), this term increases_churn."
53,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.09949999999999903, 0.10299999999999976)",0.6333694869777686,0.6333694869777686,increases_churn,51.0,4.042251515071535e-06,"When level_rxlevel_range_1h in [0.09949999999999903, 0.10299999999999976), this term increases_churn."
54,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.10299999999999976, 0.10450000000000159)",0.6333694869777686,0.6333694869777686,increases_churn,41.0,3.2496531787829987e-06,"When level_rxlevel_range_1h in [0.10299999999999976, 0.10450000000000159), this term increases_churn."
55,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.15600000000000058, 0.1565000000000012)",0.6321781985299116,0.6321781985299116,increases_churn,49.0,3.883731847813827e-06,"When level_rxlevel_range_1h in [0.15600000000000058, 0.1565000000000012), this term increases_churn."
56,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.07200000000000095, 0.07250000000000156)",0.6320697545703597,0.6320697545703597,increases_churn,10.0,7.925983362885362e-07,"When level_rxlevel_range_1h in [0.07200000000000095, 0.07250000000000156), this term increases_churn."
57,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.15350000000000108, 0.15600000000000058)",0.6310947350495725,0.6310947350495725,increases_churn,21.0,1.664456506205926e-06,"When level_rxlevel_range_1h in [0.15350000000000108, 0.15600000000000058), this term increases_churn."
58,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.1504999999999992, 0.15350000000000108)",0.6284915740319997,0.6284915740319997,increases_churn,56.0,4.438550683215803e-06,"When level_rxlevel_range_1h in [0.1504999999999992, 0.15350000000000108), this term increases_churn."
59,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.08950000000000102, 0.0909999999999993)",0.6282958356340328,0.6282958356340328,increases_churn,49.0,3.883731847813827e-06,"When level_rxlevel_range_1h in [0.08950000000000102, 0.0909999999999993), this term increases_churn."
60,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.551089048842133e-08, 4.564211518740216e-08)",-0.6228527461150178,0.6228527461150178,decreases_churn,59029.0,0.004678628719277601,"When gateway_memory_utilization_avg_1h in [4.551089048842133e-08, 4.564211518740216e-08), this term decreases_churn."
61,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.07150000000000034, 0.07200000000000095)",0.622440626091562,0.622440626091562,increases_churn,41.0,3.2496531787829987e-06,"When level_rxlevel_range_1h in [0.07150000000000034, 0.07200000000000095), this term increases_churn."
62,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.08650000000000091, 0.08950000000000102)",0.6220424025415673,0.6220424025415673,increases_churn,58.0,4.59707035047351e-06,"When level_rxlevel_range_1h in [0.08650000000000091, 0.08950000000000102), this term increases_churn."
63,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.05599999999999916, 0.057500000000000995)",0.6209548456603221,0.6209548456603221,increases_churn,40.0,3.170393345154145e-06,"When level_rxlevel_range_1h in [0.05599999999999916, 0.057500000000000995), this term increases_churn."
64,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.564211518740216e-08, 4.566524791418061e-08)",-0.6194448178891844,0.6194448178891844,decreases_churn,249.0,1.973569857358455e-05,"When gateway_memory_utilization_avg_1h in [4.564211518740216e-08, 4.566524791418061e-08), this term decreases_churn."
65,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.0835000000000008, 0.08650000000000091)",0.6184794058513077,0.6184794058513077,increases_churn,39.0,3.0911335115252913e-06,"When level_rxlevel_range_1h in [0.0835000000000008, 0.08650000000000091), this term increases_churn."
66,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.2535000000000007, 0.2635000000000023)",0.6166288721388548,0.6166288721388548,increases_churn,32.0,2.5363146761233158e-06,"When level_rxlevel_range_1h in [0.2535000000000007, 0.2635000000000023), this term increases_churn."
67,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.375, 0.395999999999999)",0.6164436625725814,0.6164436625725814,increases_churn,30.0,2.377795008865609e-06,"When level_rxlevel_range_1h in [0.375, 0.395999999999999), this term increases_churn."
68,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.05349999999999966, 0.05599999999999916)",0.6143482642694496,0.6143482642694496,increases_churn,53.0,4.200771182329242e-06,"When level_rxlevel_range_1h in [0.05349999999999966, 0.05599999999999916), this term increases_churn."
69,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.566524791418061e-08, 4.585935591969725e-08)",-0.6137496301507136,0.6137496301507136,decreases_churn,30866.0,0.0024464340247881957,"When gateway_memory_utilization_avg_1h in [4.566524791418061e-08, 4.585935591969725e-08), this term decreases_churn."
70,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.08300000000000018, 0.0835000000000008)",0.6122783489201318,0.6122783489201318,increases_churn,56.0,4.438550683215803e-06,"When level_rxlevel_range_1h in [0.08300000000000018, 0.0835000000000008), this term increases_churn."
71,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.05150000000000077, 0.05349999999999966)",0.61191758082956,0.61191758082956,increases_churn,51.0,4.042251515071535e-06,"When level_rxlevel_range_1h in [0.05150000000000077, 0.05349999999999966), this term increases_churn."
72,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.04949999999999832, 0.05150000000000077)",0.61191758082956,0.61191758082956,increases_churn,38.0,3.011873677896438e-06,"When level_rxlevel_range_1h in [0.04949999999999832, 0.05150000000000077), this term increases_churn."
73,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.6354912148741016e-08, 4.6592992587139704e-08)",-0.606826831923332,0.606826831923332,decreases_churn,24389.0,0.001933068082374111,"When gateway_memory_utilization_avg_1h in [4.6354912148741016e-08, 4.6592992587139704e-08), this term decreases_churn."
74,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.585935591969725e-08, 4.6354912148741016e-08)",-0.606826831923332,0.606826831923332,decreases_churn,509.0,4.034325531708649e-05,"When gateway_memory_utilization_avg_1h in [4.585935591969725e-08, 4.6354912148741016e-08), this term decreases_churn."
75,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.730578214153571e-08, 4.7543869986877246e-08)",-0.6058687917821782,0.6058687917821782,decreases_churn,10315.0,0.0008175651838816251,"When gateway_memory_utilization_avg_1h in [4.730578214153571e-08, 4.7543869986877246e-08), this term decreases_churn."
76,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.048500000000000654, 0.04949999999999832)",0.6052175020725357,0.6052175020725357,increases_churn,36.0,2.8533540106387305e-06,"When level_rxlevel_range_1h in [0.048500000000000654, 0.04949999999999832), this term increases_churn."
77,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.04699999999999971, 0.04749999999999943)",0.6052175020725357,0.6052175020725357,increases_churn,32.0,2.5363146761233158e-06,"When level_rxlevel_range_1h in [0.04699999999999971, 0.04749999999999943), this term increases_churn."
78,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.04749999999999943, 0.048500000000000654)",0.6052175020725357,0.6052175020725357,increases_churn,11.0,8.718581699173899e-07,"When level_rxlevel_range_1h in [0.04749999999999943, 0.048500000000000654), this term increases_churn."
79,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.6592992587139704e-08, 4.661660724572604e-08)",-0.6041637734638216,0.6041637734638216,decreases_churn,191.0,1.5138628223111042e-05,"When gateway_memory_utilization_avg_1h in [4.6592992587139704e-08, 4.661660724572604e-08), this term decreases_churn."
80,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.661660724572604e-08, 4.665822616230069e-08)",-0.6017158402593824,0.6017158402593824,decreases_churn,16793.0,0.0013310103861293389,"When gateway_memory_utilization_avg_1h in [4.661660724572604e-08, 4.665822616230069e-08), this term decreases_churn."
81,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.665822616230069e-08, 4.730578214153571e-08)",-0.6017158402593824,0.6017158402593824,decreases_churn,382.0,3.0277256446222085e-05,"When gateway_memory_utilization_avg_1h in [4.665822616230069e-08, 4.730578214153571e-08), this term decreases_churn."
82,gateway_channel_automatic_change_24_sum_1h,"gateway_channel_automatic_change_24_sum_1h in [28.5, 29.5)",0.6014091343109447,0.6014091343109447,increases_churn,118.0,9.352660368204728e-06,"When gateway_channel_automatic_change_24_sum_1h in [28.5, 29.5), this term increases_churn."
83,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.0810000000000013, 0.08249999999999957)",0.6011926984767687,0.6011926984767687,increases_churn,26.0,2.060755674350194e-06,"When level_rxlevel_range_1h in [0.0810000000000013, 0.08249999999999957), this term increases_churn."
84,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.08249999999999957, 0.08300000000000018)",0.6011926984767687,0.6011926984767687,increases_churn,24.0,1.902236007092487e-06,"When level_rxlevel_range_1h in [0.08249999999999957, 0.08300000000000018), this term increases_churn."
85,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.447558199221827e-08, 4.469123778766462e-08)",-0.5959752646370938,0.5959752646370938,decreases_churn,133409.0,0.010573975144591734,"When gateway_memory_utilization_avg_1h in [4.447558199221827e-08, 4.469123778766462e-08), this term decreases_churn."
86,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.471388858263518e-08, 4.487198691669544e-08)",-0.5932166470005903,0.5932166470005903,decreases_churn,39156.0,0.0031034980455713923,"When gateway_memory_utilization_avg_1h in [4.471388858263518e-08, 4.487198691669544e-08), this term decreases_churn."
87,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.7543869986877246e-08, 4.7782429109401596e-08)",-0.5914062681388484,0.5914062681388484,decreases_churn,6672.0,0.0005288216099717113,"When gateway_memory_utilization_avg_1h in [4.7543869986877246e-08, 4.7782429109401596e-08), this term decreases_churn."
88,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.469123778766462e-08, 4.471388858263518e-08)",-0.5909203083515877,0.5909203083515877,decreases_churn,400.0,3.170393345154145e-05,"When gateway_memory_utilization_avg_1h in [4.469123778766462e-08, 4.471388858263518e-08), this term decreases_churn."
89,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.487198691669544e-08, 4.551089048842133e-08)",-0.58951804854432,0.58951804854432,decreases_churn,568.0,4.501958550118886e-05,"When gateway_memory_utilization_avg_1h in [4.487198691669544e-08, 4.551089048842133e-08), this term decreases_churn."
90,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.12400000000000055, 0.12650000000000006)",0.5893612767191287,0.5893612767191287,increases_churn,21.0,1.664456506205926e-06,"When level_rxlevel_range_1h in [0.12400000000000055, 0.12650000000000006), this term increases_churn."
91,gateway_channel_automatic_change_24_sum_1h,"gateway_channel_automatic_change_24_sum_1h in [10.5, 12.5)",0.5856405095652165,0.5856405095652165,increases_churn,191.0,1.5138628223111042e-05,"When gateway_channel_automatic_change_24_sum_1h in [10.5, 12.5), this term increases_churn."
92,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.07899999999999885, 0.07949999999999946)",0.5852105347094662,0.5852105347094662,increases_churn,41.0,3.2496531787829987e-06,"When level_rxlevel_range_1h in [0.07899999999999885, 0.07949999999999946), this term increases_churn."
93,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.07949999999999946, 0.0810000000000013)",0.5852105347094662,0.5852105347094662,increases_churn,33.0,2.6155745097521697e-06,"When level_rxlevel_range_1h in [0.07949999999999946, 0.0810000000000013), this term increases_churn."
94,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [4.7782429109401596e-08, 4.85193259088169e-08)",-0.582000703816547,0.582000703816547,decreases_churn,6079.0,0.00048182052862980117,"When gateway_memory_utilization_avg_1h in [4.7782429109401596e-08, 4.85193259088169e-08), this term decreases_churn."
95,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.1850000000000005, 0.1855000000000011)",0.5809881911308497,0.5809881911308497,increases_churn,40.0,3.170393345154145e-06,"When level_rxlevel_range_1h in [0.1850000000000005, 0.1855000000000011), this term increases_churn."
96,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.09800000000000075, 0.09949999999999903)",0.5743967566091099,0.5743967566091099,increases_churn,33.0,2.6155745097521697e-06,"When level_rxlevel_range_1h in [0.09800000000000075, 0.09949999999999903), this term increases_churn."
97,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.0934999999999988, 0.09500000000000064)",0.5738809855510354,0.5738809855510354,increases_churn,32.0,2.5363146761233158e-06,"When level_rxlevel_range_1h in [0.0934999999999988, 0.09500000000000064), this term increases_churn."
98,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.0909999999999993, 0.09149999999999991)",0.570019469937545,0.570019469937545,increases_churn,32.0,2.5363146761233158e-06,"When level_rxlevel_range_1h in [0.0909999999999993, 0.09149999999999991), this term increases_churn."
99,gateway_band_steering_no_response_sum_1h,"gateway_band_steering_no_response_sum_1h in [4.5, 5.5)",0.5690926808033459,0.5690926808033459,increases_churn,10385.0,0.0008231133722356449,"When gateway_band_steering_no_response_sum_1h in [4.5, 5.5), this term increases_churn."
100,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.09750000000000014, 0.09800000000000075)",0.5689820172234834,0.5689820172234834,increases_churn,59.0,4.676330184102364e-06,"When level_rxlevel_range_1h in [0.09750000000000014, 0.09800000000000075), this term increases_churn."
